COD_MESE,CD_CLUSTER,DES_TIPO_GIORNO,NUM_S_RICERCHE,NUM_S_RICERCHE_NOREG,NUM_S_RICERCHE_AREA1,NUM_S_RICERCHE_AREA2,NUM_S_RICERCHE_AREA3,NUM_S_RICERCHE_AREA4,NUM_S_RICERCHE_VATICANO,NUM_S_RICERCHE_ROMA,NUM_S_RICERCHE_MILANO,NUM_S_RICERCHE_NAPOLI,NUM_S_RICERCHE_TORINO,NUM_S_RICERCHE_LAVORATIVA,NUM_S_RICERCHE_NON_LAVORATIVA,NUM_S_SESSIONI_UNICHE
201308,studipro,Lavorativo,163677,14155,42598,41070,32935,32916,3,3399,1957,1220,1235,139917,23760,84571
201308,utensili,Lavorativo,19177,1937,5990,5240,3517,2493,0,300,231,140,377,16066,3111,13022
201308,zoologia,Lavorativo,96475,18453,27542,17707,17642,15131,0,3051,1844,913,2414,80066,16409,51098
201308,benessere,Lavorativo,200047,9829,66780,46416,42612,34410,0,5863,5406,1631,3940,168447,31600,100666
201308,campeggio,Lavorativo,53249,14440,9963,7944,10489,10413,0,1337,198,131,621,40709,12540,32065
201308,ceramiche,Lavorativo,64245,4899,21178,15926,11082,11160,0,1425,932,463,1212,53169,11076,34374
201308,chirurgia,Lavorativo,15177,1294,4972,3033,3150,2728,0,176,142,119,197,12635,2542,10273
201308,cosmetica,Lavorativo,203504,15006,61333,44906,43131,39128,0,6393,4603,1880,3677,172461,31043,108153
201308,forniture,Lavorativo,30565,1695,8652,7224,6241,6753,0,705,1281,125,468,23340,7225,21129
201308,idraulica,Lavorativo,79184,4766,25069,23469,15111,10769,0,2165,1367,709,1143,67666,11518,43351
201308,logistica,Lavorativo,188563,9005,45599,44650,40353,48956,0,3919,3642,1964,1691,166725,21838,100790
201308,religione,Lavorativo,58137,2945,15772,10687,11703,16986,44,1335,393,501,313,45459,12678,35227
201308,telefonia,Lavorativo,151093,28854,39863,26195,28261,27919,1,5850,5078,1345,3478,130092,21001,89902
201308,traslochi,Lavorativo,23580,1567,6558,5450,5682,4323,0,593,330,266,572,19851,3729,14579
201308,vigilanza,Lavorativo,19724,1252,4606,3608,4353,5905,0,666,738,261,501,15309,4415,10294
201308,ariafredda,Lavorativo,9341,750,3078,2157,1980,1376,0,163,84,31,72,7923,1418,6056
201308,audiovideo,Lavorativo,27126,1747,7058,5759,6012,6550,0,1084,583,226,631,20427,6699,16829
201308,biancheria,Lavorativo,30595,2926,9409,6812,5983,5465,0,859,551,296,906,24704,5891,17155
201308,componenti,Lavorativo,20711,2977,6142,6057,3511,2024,0,177,233,76,289,17310,3401,13707
201308,condominio,Lavorativo,31694,1384,11689,8308,6320,3993,0,693,1070,94,891,27955,3739,18322
201308,ferramenta,Lavorativo,120625,8485,39131,30581,24346,18082,0,4369,2818,945,3014,103680,16945,66131
201308,imballaggi,Lavorativo,32122,3845,8820,7546,7091,4820,0,881,603,157,710,27420,4702,18145
201308,lavanderie,Lavorativo,38375,2180,9307,9485,9159,8243,1,1455,763,428,600,32544,5831,21094
201308,psicologia,Lavorativo,27665,1798,7444,5661,5673,7089,0,548,462,290,462,21617,6048,14974
201308,ragionieri,Lavorativo,96822,6977,25928,21956,20272,21689,0,2278,2130,697,1301,85030,11792,59832
201308,ristoranti,Lavorativo,498144,42324,144489,104555,100587,106177,12,11218,7733,3466,7624,356313,141831,224688
201308,salagiochi,Lavorativo,115133,49569,20046,11253,15461,18803,1,2744,2979,980,1197,92658,22475,76252
201308,spettacolo,Lavorativo,21937,10066,2867,1581,3160,4263,0,654,800,314,250,16795,5142,15953
201308,veterinari,Lavorativo,68703,4337,20357,14874,15883,13252,0,1147,731,502,912,55179,13524,40715
201308,arredamento,Lavorativo,109479,9724,35086,23443,18023,23203,0,1511,8647,1167,1333,84608,24871,62886
201308,automazione,Lavorativo,126400,26198,32806,25400,22230,19766,0,3291,1999,1024,1870,108219,18181,74454
201308,autonoleggi,Lavorativo,91092,3688,20399,15875,22382,28748,0,1505,1329,1307,609,71226,19866,49864
201308,autopratich,Lavorativo,62054,8641,17965,12156,12866,10426,0,2728,1506,555,1320,54658,7396,37656
201308,autopulizia,Lavorativo,13865,822,4443,3352,2896,2352,0,548,719,205,609,11700,2165,8626
201308,bigiotteria,Lavorativo,2714,351,763,741,544,315,0,80,102,40,18,2083,631,1694
201308,cancelleria,Lavorativo,23069,1730,6873,4565,5626,4275,0,1298,814,180,374,20370,2699,14438
201308,elettronica,Lavorativo,3300,373,1040,847,719,321,0,223,71,8,204,2713,587,2199
201308,informatica,Lavorativo,78382,6289,24666,15638,14859,16930,0,2194,3488,913,1811,65739,12643,47327
